instance,vertices,edges,partitions,runs,best,avg,std,total_time_s
ring_n20p0.3s2,246,12308,123,10,24,24.40,0.52,91.737
ring_n20p0.3s3,234,10951,117,10,18,19.10,0.57,78.443
ring_n20p0.3s4,222,10058,111,10,21,21.30,0.48,68.377
ring_n20p0.3s5,240,11802,120,10,22,22.60,0.52,85.357
ring_n20p0.4s1,306,18772,153,10,25,25.70,0.82,172.209
ring_n20p0.4s2,318,20693,159,10,28,29.20,0.63,200.644
ring_n20p0.4s3,296,17570,148,10,22,22.80,0.92,152.701
ring_n20p0.4s4,292,17305,146,10,25,25.70,0.82,177.767
ring_n20p0.4s5,330,22257,165,10,29,30.30,0.67,251.655
ring_n20p0.5s1,392,30924,196,10,33,34.20,0.63,407.253
ring_n20p0.5s2,396,32151,198,10,33,34.30,0.67,373.040
ring_n20p0.5s3,380,29061,190,10,29,29.90,0.74,305.179
ring_n20p0.5s4,358,26018,179,10,28,29.30,0.67,256.846
ring_n20p0.5s5,390,31090,195,10,34,34.80,0.79,335.624
ring_n20p0.6s1,458,42316,229,10,37,38.40,0.70,529.532
ring_n20p0.6s2,464,44107,232,10,39,39.90,0.74,565.292
ring_n20p0.6s3,456,41906,228,10,34,36.40,1.07,527.565
ring_n20p0.6s4,452,41530,226,10,36,36.60,0.70,516.180
ring_n20p0.6s5,440,39445,220,10,36,37.40,0.84,476.744
ring_n20p0.7s1,536,58142,268,10,42,43.50,0.85,854.560
ring_n20p0.7s2,580,68658,290,10,47,48.80,0.79,1125.482
ring_n20p0.7s3,534,57579,267,10,41,42.60,0.97,851.955
ring_n20p0.7s4,536,58373,268,10,42,43.00,0.47,859.630
ring_n20p0.7s5,518,54784,259,10,43,43.40,0.52,778.820
ring_n20p0.8s1,614,76568,307,10,49,50.20,0.92,1340.053
ring_n20p0.8s2,624,79501,312,10,51,52.50,0.85,1413.614
ring_n20p0.8s3,614,76290,307,10,47,49.30,1.06,1325.670
ring_n20p0.8s4,610,75741,305,10,48,49.90,0.88,1333.302
ring_n20p0.8s5,602,73890,301,10,48,49.70,0.82,1279.718
ring_n20p0.9s1,672,91739,336,10,53,54.20,0.79,1762.876
ring_n20p0.9s2,696,98814,348,10,56,57.40,0.97,1966.901
ring_n20p0.9s3,686,95572,343,10,54,55.30,0.95,1871.488
ring_n20p0.9s4,686,95789,343,10,55,56.70,0.67,1887.862
ring_n20p0.9s5,706,101600,353,10,57,58.10,1.10,2160.083
ring_n20p1.0s1,760,117420,380,10,60,61.20,0.92,2678.678
ring_n20p1.0s2,760,117420,380,10,60,61.40,1.07,2689.438
ring_n20p1.0s3,760,117420,380,10,60,61.60,0.97,10063.737
ring_n20p1.0s4,760,117420,380,10,60,61.60,1.07,4643.447
ring_n20p1.0s5,760,117420,380,10,61,61.90,0.88,3462.493
nsf_p0.1_s1,16,16,12,10,2,2.00,0.00,0.168
nsf_p0.1_s2,22,27,16,10,2,2.00,0.00,0.295
nsf_p0.1_s3,29,40,23,10,3,3.00,0.00,0.657
nsf_p0.1_s4,38,67,30,10,3,3.00,0.00,1.463
nsf_p0.1_s5,27,30,20,10,2,2.00,0.00,0.613
nsf_p0.2_s1,37,69,31,10,4,4.00,0.00,1.632
nsf_p0.2_s2,52,128,44,10,4,4.00,0.00,3.795
nsf_p0.2_s3,51,130,40,10,4,4.00,0.00,3.294
nsf_p0.2_s4,57,176,40,10,4,4.00,0.00,3.805
nsf_p0.2_s5,66,242,44,10,4,4.00,0.00,4.387
nsf_p0.3_s1,63,220,49,10,5,5.00,0.00,6.814
nsf_p0.3_s2,87,452,64,10,5,5.10,0.32,13.199
nsf_p0.3_s3,80,366,58,10,6,6.00,0.00,10.189
nsf_p0.3_s4,80,397,59,10,6,6.00,0.00,10.731
nsf_p0.3_s5,85,363,63,10,5,5.00,0.00,10.906
nsf_p0.4_s1,91,527,66,10,6,6.00,0.00,15.023
nsf_p0.4_s2,112,739,82,10,7,7.00,0.00,22.060
nsf_p0.4_s3,101,606,73,10,6,6.00,0.00,17.149
nsf_p0.4_s4,99,559,76,10,7,7.00,0.00,17.795
nsf_p0.4_s5,112,741,80,10,6,6.50,0.53,23.466
nsf_p0.5_s1,124,999,87,10,8,8.00,0.00,29.058
nsf_p0.5_s2,130,1017,99,10,8,8.00,0.00,47.810
nsf_p0.5_s3,122,848,92,10,7,7.40,0.52,39.848
nsf_p0.5_s4,118,803,89,10,7,7.20,0.42,33.717
nsf_p0.5_s5,132,1071,93,10,7,7.10,0.32,36.627
nsf_p0.6_s1,149,1475,107,10,9,9.00,0.00,58.274
nsf_p0.6_s2,154,1409,113,10,9,9.90,0.32,58.976
nsf_p0.6_s3,153,1371,112,10,9,9.00,0.00,56.393
nsf_p0.6_s4,161,1613,113,10,9,9.00,0.00,71.285
nsf_p0.6_s5,139,1184,103,10,9,9.00,0.00,51.416
nsf_p0.7_s1,180,2117,124,10,10,10.00,0.00,89.256
nsf_p0.7_s2,202,2670,144,10,11,11.00,0.00,143.551
nsf_p0.7_s3,177,1925,131,10,10,10.00,0.00,90.226
nsf_p0.7_s4,187,2151,135,10,11,11.00,0.00,109.527
nsf_p0.7_s5,159,1606,118,10,9,9.00,0.00,77.391
nsf_p0.8_s1,201,2549,147,10,11,11.30,0.48,155.619
nsf_p0.8_s2,221,3115,153,10,11,11.80,0.42,166.275
nsf_p0.8_s3,208,2692,147,10,11,11.00,0.00,129.370
nsf_p0.8_s4,209,2821,147,10,11,11.00,0.00,134.912
nsf_p0.8_s5,184,2014,139,10,11,11.00,0.00,127.510
nsf_p0.9_s1,216,2921,161,10,12,12.00,0.00,164.363
nsf_p0.9_s2,231,3324,167,10,12,12.10,0.32,225.947
nsf_p0.9_s3,217,2849,166,10,12,12.00,0.00,297.622
nsf_p0.9_s4,226,3118,165,10,12,12.10,0.32,194.046
nsf_p0.9_s5,234,3379,169,10,12,12.10,0.32,307.610
nsf_p1.0_s1,250,3948,182,10,13,13.90,0.32,380.071
nsf_p1.0_s2,251,3973,182,10,13,13.40,0.52,387.736
nsf_p1.0_s3,238,3419,182,10,13,13.20,0.42,369.448
nsf_p1.0_s4,257,4261,182,10,13,13.70,0.48,390.065
nsf_p1.0_s5,248,3827,182,10,13,13.00,0.00,386.658
n100p5t2s1,100,2494,50,10,8,8.90,0.32,18.165
n100p5t2s2,100,2428,50,10,8,8.80,0.42,18.231
n100p5t2s3,100,2513,50,10,8,8.90,0.32,18.059
n100p5t2s4,100,2442,50,10,8,8.90,0.32,17.756
n100p5t2s5,100,2500,50,10,8,8.90,0.32,17.743
n120p5t2s1,120,3593,60,10,10,10.20,0.42,29.878
n120p5t2s2,120,3544,60,10,10,10.00,0.00,29.553
n120p5t2s3,120,3613,60,10,10,10.90,0.32,29.868
n120p5t2s4,120,3536,60,10,10,10.00,0.00,30.001
n120p5t2s5,120,3623,60,10,10,10.20,0.42,29.903
n20p5t2s1,20,98,10,10,3,3.00,0.00,0.261
n20p5t2s2,20,100,10,10,3,3.00,0.00,0.263
n20p5t2s3,20,96,10,10,3,3.00,0.00,0.232
n20p5t2s4,20,94,10,10,3,3.00,0.00,0.254
n20p5t2s5,20,102,10,10,3,3.00,0.00,0.250
n40p5t2s1,40,402,20,10,4,4.00,0.00,1.405
n40p5t2s2,40,398,20,10,4,4.40,0.52,1.377
n40p5t2s3,40,387,20,10,4,4.80,0.42,1.438
n40p5t2s4,40,397,20,10,4,4.30,0.48,1.359
n40p5t2s5,40,420,20,10,4,4.80,0.42,1.370
n60p5t2s1,60,909,30,10,6,6.20,0.42,4.162
n60p5t2s2,60,872,30,10,6,6.00,0.00,4.085
n60p5t2s3,60,881,30,10,6,6.00,0.00,4.107
n60p5t2s4,60,884,30,10,6,6.00,0.00,4.149
n60p5t2s5,60,907,30,10,6,6.00,0.00,4.218
n70p5t2s1,70,1241,35,10,7,7.00,0.00,6.516
n70p5t2s2,70,1189,35,10,6,6.60,0.52,6.359
n70p5t2s3,70,1200,35,10,6,6.90,0.32,6.305
n70p5t2s4,70,1194,35,10,6,6.80,0.42,6.380
n70p5t2s5,70,1228,35,10,7,7.00,0.00,6.409
n80p5t2s1,80,1592,40,10,7,7.30,0.48,9.345
n80p5t2s2,80,1547,40,10,7,7.30,0.48,9.289
n80p5t2s3,80,1589,40,10,7,7.50,0.53,9.591
n80p5t2s4,80,1580,40,10,7,7.90,0.32,9.512
n80p5t2s5,80,1616,40,10,7,7.70,0.48,9.483
n90p1t2s1,90,404,45,10,3,3.00,0.00,8.074
n90p1t2s2,90,402,45,10,3,3.00,0.00,8.142
n90p1t2s3,90,427,45,10,3,3.00,0.00,8.193
n90p1t2s4,90,391,45,10,3,3.00,0.00,8.002
n90p1t2s5,90,444,45,10,3,3.00,0.00,8.321
n90p2t2s1,90,786,45,10,4,4.00,0.00,9.503
n90p2t2s2,90,801,45,10,4,4.00,0.00,9.368
n90p2t2s3,90,838,45,10,4,4.00,0.00,9.726
n90p2t2s4,90,777,45,10,4,4.00,0.00,9.482
n90p2t2s5,90,827,45,10,4,4.00,0.00,9.773
n90p3t2s1,90,1183,45,10,5,5.40,0.52,10.795
n90p3t2s2,90,1202,45,10,5,5.20,0.42,10.767
n90p3t2s3,90,1246,45,10,5,5.90,0.32,10.827
n90p3t2s4,90,1171,45,10,5,5.00,0.00,10.484
n90p3t2s5,90,1236,45,10,5,5.70,0.48,10.905
n90p4t2s1,90,1597,45,10,6,6.90,0.32,11.976
n90p4t2s2,90,1571,45,10,6,6.90,0.32,11.996
n90p4t2s3,90,1627,45,10,7,7.00,0.00,12.027
n90p4t2s4,90,1604,45,10,7,7.00,0.00,12.053
n90p4t2s5,90,1643,45,10,7,7.00,0.00,12.192
n90p5t2s1,90,2019,45,10,8,8.10,0.32,13.438
n90p5t2s2,90,1963,45,10,8,8.00,0.00,13.203
n90p5t2s3,90,2045,45,10,8,8.10,0.32,13.283
n90p5t2s4,90,2014,45,10,8,8.00,0.00,13.190
n90p5t2s5,90,2057,45,10,8,8.50,0.53,13.297
n90p6t2s1,90,2447,45,10,9,9.80,0.42,13.963
n90p6t2s2,90,2382,45,10,9,9.90,0.32,13.774
n90p6t2s3,90,2449,45,10,9,9.80,0.42,14.087
n90p6t2s4,90,2407,45,10,10,10.00,0.00,14.053
n90p6t2s5,90,2458,45,10,10,10.10,0.32,13.934
n90p7t2s1,90,2845,45,10,11,11.50,0.53,14.375
n90p7t2s2,90,2797,45,10,11,11.80,0.42,14.335
n90p7t2s3,90,2831,45,10,11,11.90,0.32,14.431
n90p7t2s4,90,2821,45,10,11,11.90,0.32,14.589
n90p7t2s5,90,2834,45,10,11,12.00,0.47,14.591
n90p8t2s1,90,3257,45,10,14,14.40,0.52,14.696
n90p8t2s2,90,3188,45,10,13,13.90,0.32,14.655
n90p8t2s3,90,3274,45,10,14,14.80,0.42,14.522
n90p8t2s4,90,3213,45,10,14,14.00,0.00,14.463
n90p8t2s5,90,3226,45,10,14,14.40,0.52,14.479
n90p9t2s1,90,3631,45,10,17,18.20,0.63,14.633
n90p9t2s2,90,3614,45,10,16,17.50,0.71,14.717
n90p9t2s3,90,3615,45,10,18,18.40,0.52,14.708
n90p9t2s4,90,3619,45,10,17,17.70,0.67,14.689
n90p9t2s5,90,3634,45,10,17,17.40,0.52,14.689
